tree_id,loc_id,loc,type,classe_drainage,dbh,ratio_hd,height,volume,D_index,defoliation,epid_age,light,dist_from_river
1,a1,a,1,1,8.3,8.43373494,70,10.3,0.62,20.6,1,1485,993
2,a1,a,1,1,8.6,7.558139535,65,10.3,0.62,4.3,1,1497,230
3,b1,b,1,1,8.8,7.159090909,63,10.2,0.42,46.5,2,994,415
4,b1,b,1,1,10.5,6.857142857,72,16.4,0.42,12.2,2,1163,225
5,c1,c,1,1,10.7,7.570093458,81,18.8,0.72,29.7,3,1273,457
6,c1,c,1,1,10.8,7.685185185,83,19.7,0.72,18.8,3,1371,919
7,d1,d,1,1,11,6,66,15.6,0.82,21.8,4,924,991
8,d1,d,1,1,11,6.818181818,75,18.2,0.82,54.3,4,1292,225
9,a2,a,2,2,11.1,7.207207207,80,22.6,0.56,8.5,2,1440,346
10,a2,a,2,2,11.2,6.696428571,75,19.9,0.56,53.8,2,1086,649
11,b2,b,2,2,11.3,6.991150442,79,24.2,0.36,4.2,3,1365,532
12,b2,b,2,2,11.4,6.666666667,76,21,0.36,67.9,3,1048,852
13,c2,c,2,2,11.4,6.666666667,76,21.4,0.66,15.2,4,926,904
14,c2,c,2,2,11.7,5.897435897,69,21.3,0.66,65.4,4,1315,218
15,d2,d,2,2,12,6.25,75,19.1,0.76,16.9,5,1026,687
16,d2,d,2,2,12.9,5.736434109,74,22.2,0.76,4.5,5,1100,691
17,a3,a,3,3,12.9,6.589147287,85,33.8,0.58,1.3,3,1052,387
18,a3,a,3,3,13.3,6.466165414,86,27.4,0.58,35.2,3,1025,951
19,b3,b,3,3,13.7,5.182481752,71,25.7,0.38,9.8,4,1055,675
20,b3,b,3,3,13.8,4.637681159,64,24.9,0.38,61,4,1495,543
21,c3,c,3,3,14,5.571428571,78,34.5,0.68,43.1,5,991,520
22,c3,c,3,3,14.2,5.633802817,80,31.7,0.68,34.9,5,1159,892
23,d3,d,3,3,14.5,5.103448276,74,36.3,0.78,45.2,6,1136,217
24,d3,d,3,3,16,4.5,72,38.3,0.78,49.6,6,1092,783
25,a4,a,4,5,16.3,4.72392638,77,42.6,0.58,17.5,4,1422,243
26,a4,a,4,5,17.3,4.682080925,81,55.4,0.58,42.9,4,1324,425
